CountryCode;RegionCode
ABW;LAM
AFG;OAS
AGO;SSA
AIA;LAM
ALA;EUR
ALB;NEU
AND;NEU
ARE;MEA
ARG;LAM
ARM;REF
ASM;OAS
ATA;LAM
ATF;OAS
ATG;LAM
AUS;CAZ
AUT;EUR
AZE;REF
BDI;SSA
BEL;EUR
BEN;SSA
BES;LAM
BFA;SSA
BGD;OAS
BGR;EUR
BHR;MEA
BHS;LAM
BIH;NEU
BLM;LAM
BLR;REF
BLZ;LAM
BMU;LAM
BOL;LAM
BRA;LAM
BRB;LAM
BRN;OAS
BTN;OAS
BVT;LAM
BWA;SSA
CAF;SSA
CAN;CAZ
CCK;OAS
CHN;CHA
CHE;NEU
CHL;LAM
CIV;SSA
CMR;SSA
COD;SSA
COG;SSA
COK;OAS
COL;LAM
COM;SSA
CPV;SSA
CRI;LAM
CUB;LAM
CUW;LAM
CXR;OAS
CYM;LAM
CYP;EUR
CZE;EUR
DEU;EUR
DJI;SSA
DMA;LAM
DNK;EUR
DOM;LAM
DZA;MEA
ECU;LAM
EGY;MEA
ERI;SSA
ESH;MEA
ESP;EUR
EST;EUR
ETH;SSA
FIN;EUR
FJI;OAS
FLK;LAM
FRA;EUR
FRO;EUR
FSM;OAS
GAB;SSA
GBR;EUR
GEO;REF
GGY;EUR
GHA;SSA
GIB;EUR
GIN;SSA
GLP;LAM
GMB;SSA
GNB;SSA
GNQ;SSA
GRC;EUR
GRD;LAM
GRL;NEU
GTM;LAM
GUF;LAM
GUM;OAS
GUY;LAM
HKG;CHA
HMD;CAZ
HND;LAM
HRV;EUR
HTI;LAM
HUN;EUR
IDN;OAS
IMN;EUR
IND;IND
IOT;OAS
IRL;EUR
IRN;MEA
IRQ;MEA
ISL;NEU
ISR;MEA
ITA;EUR
JAM;LAM
JEY;EUR
JOR;MEA
JPN;JPN
KAZ;REF
KEN;SSA
KGZ;REF
KHM;OAS
KIR;OAS
KNA;LAM
KOR;OAS
KWT;MEA
LAO;OAS
LBN;MEA
LBR;SSA
LBY;MEA
LCA;LAM
LIE;NEU
LKA;OAS
LSO;SSA
LTU;EUR
LUX;EUR
LVA;EUR
MAC;CHA
MAF;LAM
MAR;MEA
MCO;NEU
MDA;REF
MDG;SSA
MDV;OAS
MEX;LAM
MHL;OAS
MKD;NEU
MLI;SSA
MLT;EUR
MMR;OAS
MNE;NEU
MNG;OAS
MNP;OAS
MOZ;SSA
MRT;SSA
MSR;LAM
MTQ;LAM
MUS;SSA
MWI;SSA
MYS;OAS
MYT;SSA
NAM;SSA
NCL;OAS
NER;SSA
NFK;OAS
NGA;SSA
NIC;LAM
NIU;OAS
NLD;EUR
NOR;NEU
NPL;OAS
NRU;OAS
NZL;CAZ
OMN;MEA
PAK;OAS
PAN;LAM
PCN;OAS
PER;LAM
PHL;OAS
PLW;OAS
PNG;OAS
POL;EUR
PRI;LAM
PRK;OAS
PRT;EUR
PRY;LAM
PSE;MEA
PYF;OAS
QAT;MEA
REU;SSA
ROU;EUR
RUS;REF
RWA;SSA
SAU;MEA
SDN;MEA
SEN;SSA
SGP;OAS
SGS;LAM
SHN;SSA
SJM;NEU
SLB;OAS
SLE;SSA
SLV;LAM
SMR;NEU
SOM;SSA
SPM;CAZ
SRB;NEU
SSD;SSA
STP;SSA
SUR;LAM
SVK;EUR
SVN;EUR
SWE;EUR
SWZ;SSA
SXM;LAM
SYC;SSA
SYR;MEA
TCA;LAM
TCD;SSA
TGO;SSA
THA;OAS
TJK;REF
TKL;OAS
TKM;REF
TLS;OAS
TON;OAS
TTO;LAM
TUN;MEA
TUR;NEU
TUV;OAS
TWN;CHA
TZA;SSA
UGA;SSA
UKR;REF
UMI;OAS
URY;LAM
USA;USA
UZB;REF
VAT;NEU
VCT;LAM
VEN;LAM
VGB;LAM
VIR;LAM
VNM;OAS
VUT;OAS
WLF;OAS
WSM;OAS
YEM;MEA
ZAF;SSA
ZMB;SSA
ZWE;SSA
